date,meantempm,maxtempm,mintempm,meanpressurem,maxpressurem,minpressurem,meanhumidity,maxhumidity,minhumidity,rain
1/1/2010,1,3,-1,1005.76,1010,1002,83,93,70,0
1/2/2010,2,5,-1,1014.83,1019,1010,81,93,70,1
1/3/2010,0,2,-2,1022.69,1024,1019,89,93,81,1
1/4/2010,-1,2,-4,1018.05,1023,1012,87,100,70,0
1/5/2010,-1,2,-4,1004.19,1011,1000,86,100,65,0
1/6/2010,0,2,-3,1003.11,1007,1000,91,100,75,0
1/7/2010,-1,1,-3,1009.64,1016,1007,89,93,86,0
1/8/2010,-2,0,-4,1021.53,1024,1017,94,100,87,0
1/9/2010,-1,1,-3,1021.45,1023,1018,90,100,75,0
1/10/2010,1,1,1,1017.12,1018,1017,93,93,93,1
1/11/2010,1,2,0,1018.79,1019,1018,92,100,87,1
1/12/2010,2,2,1,1009.15,1019,1002,86,93,75,0
1/13/2010,0,1,0,1000.69,1002,999,88,93,81,1
1/14/2010,2,4,0,1004.97,1013,1001,97,100,93,1
1/15/2010,4,6,2,1017.97,1020,1013,93,100,87,0
1/16/2010,5,7,3,1007.21,1017,1003,91,100,87,1
1/17/2010,6,9,4,1015.97,1023,1004,82,100,66,1
1/18/2010,6,7,4,1024.29,1025,1023,92,100,87,0
1/19/2010,6,7,4,1021.46,1025,1016,95,100,81,0
1/20/2010,4,4,3,1011.72,1016,1010,87,93,81,0
1/21/2010,4,5,2,1019.76,1021,1016,84,93,70,0
1/22/2010,6,7,4,1018,1019,1017,93,100,87,1
1/23/2010,6,7,5,1019.71,1021,1018,92,100,87,1
1/24/2010,4,6,3,1023.52,1025,1021,88,100,81,1
1/25/2010,3,4,2,1030.94,1037,1025,87,93,81,1
1/26/2010,0,2,-3,1040.06,1042,1037,80,93,70,0
1/27/2010,2,6,-3,1026.97,1041,1016,84,93,56,1
1/28/2010,5,7,3,1011.09,1016,1000,82,93,66,1
1/29/2010,3,5,0,991.75,999,989,84,93,70,1
1/30/2010,2,3,0,999.16,1004,994,75,87,70,0
1/31/2010,2,4,1,1004.87,1007,1004,74,87,65,0
2/1/2010,2,4,0,1012.29,1016,1006,76,87,56,0
2/2/2010,5,8,2,1004.71,1014,1001,86,93,76,1
2/3/2010,4,8,2,1008.56,1010,1006,87,100,61,1
2/4/2010,8,9,6,1005.92,1008,1000,87,100,76,1
2/5/2010,8,11,4,1001.11,1005,997,82,93,62,1
2/6/2010,6,10,2,1014.53,1024,1005,92,100,71,0
2/7/2010,4,5,2,1021.48,1024,1018,92,100,87,1
2/8/2010,1,2,0,1011.47,1017,1010,89,93,80,1
2/9/2010,2,5,0,1010.71,1013,1009,79,93,65,1
2/10/2010,0,2,-1,1015.18,1018,1011,85,100,56,0
2/11/2010,0,3,-2,1020.21,1022,1018,74,93,56,0
2/12/2010,2,4,0,1022.44,1024,1021,85,100,70,1
2/13/2010,2,3,0,1021,1023,1019,87,100,75,1
2/14/2010,2,4,-2,1015.42,1019,1012,90,100,81,0
2/15/2010,0,3,-2,1005.74,1012,999,82,93,65,0
2/16/2010,4,5,3,993.42,998,992,89,93,75,1
2/17/2010,2,6,-4,991.15,992,990,82,100,61,0
2/18/2010,1,6,-4,990.53,993,987,95,100,87,1
2/19/2010,4,6,1,992.82,996,987,80,100,61,1
2/20/2010,2,6,-1,997.17,998,996,79,93,57,1
2/21/2010,2,6,-1,992.97,998,991,90,93,81,1
2/22/2010,4,4,3,985.5,991,982,95,100,87,1
2/23/2010,3,5,2,992.6,994,991,90,100,75,1
2/24/2010,8,11,5,990.6,993,986,91,100,76,1
2/25/2010,8,10,6,987.06,992,979,90,100,76,1
2/26/2010,7,9,5,989,998,978,67,93,46,1
2/27/2010,8,10,5,993.47,999,986,83,93,71,1
2/28/2010,5,6,4,988.52,1002,978,84,100,65,1
3/1/2010,5,9,1,1010.82,1016,1003,71,87,50,0
3/2/2010,4,9,-1,1023,1026,1017,72,93,50,0
3/3/2010,3,5,1,1021.31,1025,1019,79,93,65,0
3/4/2010,2,6,-1,1024.37,1030,1019,76,93,57,0
3/5/2010,3,8,-2,1027.77,1030,1024,82,93,70,0
3/6/2010,2,6,-1,1027.64,1032,1023,72,93,56,0
3/7/2010,0,3,-3,1032.94,1034,1032,69,100,56,0
3/8/2010,1,6,-4,1029.05,1032,1027,75,100,52,0
3/9/2010,4,5,2,1029.03,1030,1027,84,93,81,0
3/10/2010,2,5,0,1028.17,1030,1026,79,93,70,0
3/11/2010,4,6,3,1023.56,1026,1022,72,87,61,0
3/12/2010,4,7,0,1021.24,1026,1019,84,93,70,1
3/13/2010,6,9,3,1028.78,1030,1026,74,93,58,1
3/14/2010,9,12,6,1026.83,1028,1026,67,81,51,1
3/15/2010,8,13,4,1025.82,1028,1024,63,93,38,0
3/16/2010,8,12,5,1025.32,1027,1024,61,76,44,1
3/17/2010,10,15,6,1021.69,1024,1021,65,93,44,0
3/18/2010,11,16,6,1015.47,1021,1011,65,100,42,1
3/19/2010,11,12,10,1011.22,1014,1006,89,94,82,1
3/20/2010,12,14,8,1004,1005,1003,89,94,82,1
3/21/2010,8,11,6,1016.63,1021,1006,77,93,58,1
3/22/2010,8,12,5,1017.68,1020,1016,74,100,51,1
3/23/2010,6,12,1,1016.29,1019,1012,82,100,67,0
